date,price,title,sentiment
2024-08-08,6.218,No news,0.0
2024-08-09,6.619,No news,0.0
2024-08-10,6.673,No news,0.0
2024-08-11,6.21,No news,0.0
2024-08-12,6.27,No news,0.0
2024-08-13,6.456,No news,0.0
2024-08-14,6.89,No news,0.0
2024-08-15,6.597,No news,0.0
2024-08-16,6.538,No news,0.0
2024-08-17,6.438,No news,0.0
2024-08-18,6.887,No news,0.0
2024-08-19,6.832,No news,0.0
2024-08-20,6.664,No news,0.0
2024-08-21,6.496,No news,0.0
2024-08-22,6.504,No news,0.0
2024-08-23,6.7,No news,0.0
2024-08-24,5.927,No news,0.0
2024-08-25,5.77,No news,0.0
2024-08-26,5.132,No news,0.0
2024-08-27,5.438,No news,0.0
2024-08-28,5.521,No news,0.0
2024-08-29,5.454,No news,0.0
2024-08-30,5.371,No news,0.0
2024-08-31,5.42,No news,0.0
2024-09-01,5.184,No news,0.0
2024-09-02,5.219,No news,0.0
2024-09-03,4.889,No news,0.0
2024-09-04,4.625,No news,0.0
2024-09-05,4.81,No news,0.0
2024-09-06,4.656,No news,0.0
2024-09-07,4.67,No news,0.0
2024-09-08,4.896,No news,0.0
2024-09-09,5.219,No news,0.0
2024-09-10,5.529,No news,0.0
2024-09-11,5.389,No news,0.0
2024-09-12,5.583,No news,0.0
2024-09-13,5.781,No news,0.0
2024-09-14,5.676,No news,0.0
2024-09-15,5.554,No news,0.0
2024-09-16,5.485,No news,0.0
2024-09-17,5.522,No news,0.0
2024-09-18,5.641,No news,0.0
2024-09-19,5.683,No news,0.0
2024-09-20,5.585,No news,0.0
2024-09-21,5.673,No news,0.0
2024-09-22,5.62,No news,0.0
2024-09-23,5.64,No news,0.0
2024-09-24,5.616,No news,0.0
2024-09-25,5.736,No news,0.0
2024-09-26,5.792,No news,0.0
2024-09-27,5.981,No news,0.0
2024-09-28,5.885,No news,0.0
2024-09-29,5.847,No news,0.0
2024-09-30,5.708,No news,0.0
2024-10-01,5.378,No news,0.0
2024-10-02,5.29,No news,0.0
2024-10-03,5.332,No news,0.0
2024-10-04,5.401,No news,0.0
2024-10-05,5.234,No news,0.0
2024-10-06,5.315,No news,0.0
2024-10-07,5.198,No news,0.0
2024-10-08,5.199,No news,0.0
2024-10-09,5.066,No news,0.0
2024-10-10,5.138,No news,0.0
2024-10-11,5.209,No news,0.0
2024-10-12,5.241,No news,0.0
2024-10-13,5.192,No news,0.0
2024-10-14,5.323,No news,0.0
2024-10-15,5.224,No news,0.0
2024-10-16,5.227,No news,0.0
2024-10-17,5.183,No news,0.0
2024-10-18,5.25,No news,0.0
2024-10-19,5.267,No news,0.0
2024-10-20,5.358,No news,0.0
2024-10-21,5.194,No news,0.0
2024-10-22,5.223,No news,0.0
2024-10-23,5.14,No news,0.0
2024-10-24,5.128,No news,0.0
2024-10-25,4.776,No news,0.0
2024-10-26,4.925,No news,0.0
2024-10-27,4.997,No news,0.0
2024-10-28,5.017,No news,0.0
2024-10-29,5.02,No news,0.0
2024-10-30,4.989,No news,0.0
2024-10-31,4.846,No news,0.0
2024-11-01,4.894,No news,0.0
2024-11-02,4.874,No news,0.0
2024-11-03,4.818,No news,0.0
2024-11-04,4.699,No news,0.0
2024-11-05,4.668,No news,0.0
2024-11-06,4.796,No news,0.0
2024-11-07,4.908,No news,0.0
2024-11-08,4.925,No news,0.0
2024-11-09,5.241,No news,0.0
2024-11-10,5.274,No news,0.0
2024-11-11,5.497,No news,0.0
2024-11-12,5.469,No news,0.0
2024-11-13,5.258,No news,0.0
2024-11-14,5.236,No news,0.0
2024-11-15,5.381,No news,0.0
2024-11-16,5.648,No news,0.0
2024-11-17,5.383,No news,0.0
2024-11-18,5.576,No news,0.0
2024-11-19,5.447,No news,0.0
2024-11-20,5.289,No news,0.0
2024-11-21,5.507,No news,0.0
2024-11-22,5.45,No news,0.0
2024-11-23,6.313,No news,0.0
2024-11-24,6.151,No news,0.0
2024-11-25,6.079,No news,0.0
2024-11-26,6.136,No news,0.0
2024-11-27,6.372,No news,0.0
2024-11-28,6.436,No news,0.0
2024-11-29,6.45,No news,0.0
2024-11-30,6.821,No news,0.0
2024-12-01,6.836,No news,0.0
2024-12-02,6.568,No news,0.0
2024-12-03,6.773,No news,0.0
2024-12-04,6.896,No news,0.0
2024-12-05,6.793,No news,0.0
2024-12-06,6.798,No news,0.0
2024-12-07,6.796,No news,0.0
2024-12-08,6.78,No news,0.0
2024-12-09,5.778,No news,0.0
2024-12-10,5.938,No news,0.0
2024-12-11,6.342,No news,0.0
2024-12-12,6.343,No news,0.0
2024-12-13,6.33,No news,0.0
2024-12-14,6.25,No news,0.0
2024-12-15,6.391,No news,0.0
2024-12-16,6.059,No news,0.0
2024-12-17,5.822,No news,0.0
2024-12-18,5.438,No news,0.0
2024-12-19,5.2,No news,0.0
2024-12-20,5.45,No news,0.0
2024-12-21,5.311,No news,0.0
2024-12-22,5.381,No news,0.0
2024-12-23,5.597,No news,0.0
2024-12-24,5.797,No news,0.0
2024-12-25,5.948,No news,0.0
2024-12-26,5.733,No news,0.0
2024-12-27,5.734,No news,0.0
2024-12-28,5.813,No news,0.0
2024-12-29,5.634,No news,0.0
2024-12-30,5.581,No news,0.0
2024-12-31,5.509,Toncoin news,0.0
